"date","total","pm10","temp","year","month","day"
870101,127,31.806663513183594,31.209999084472656,87,1,1
870102,147,,33.380001068115234,87,1,2
870103,100,33.49024200439453,32.290000915527344,87,1,3
870104,131,44.806663513183594,29.1299991607666,87,1,4
870105,124,,32.91999816894531,87,1,5
870106,127,45.806663513183594,39.75,87,1,6
870107,126,38.806663513183594,35.58000183105469,87,1,7
870108,107,33.806663513183594,29.5,87,1,8
870109,122,33.24972915649414,27.829999923706055,87,1,9
870110,150,,32.380001068115234,87,1,10
870111,122,19.806663513183594,29.1299991607666,87,1,11
870112,110,23.806663513183594,33.130001068115234,87,1,12
870113,104,50.806663513183594,34.540000915527344,87,1,13
870114,113,40.806663513183594,38.5,87,1,14
870115,108,27.673843383789062,34.040000915527344,87,1,15
870116,124,16.806663513183594,24.920000076293945,87,1,16
870117,124,,27.709999084472656,87,1,17
870118,140,36.806663513183594,21.079999923706055,87,1,18
870119,128,29.806663513183594,24.959999084472656,87,1,19
870120,132,35.806663513183594,20.540000915527344,87,1,20
870121,113,32.437477111816406,23.579999923706055,87,1,21
870122,119,49.806663513183594,23.170000076293945,87,1,22
870123,101,52.806663513183594,2.0799999237060547,87,1,23
870124,120,35.806663513183594,3.0399999618530273,87,1,24
870125,101,,9,87,1,25
870126,112,68.8066635131836,14.420000076293945,87,1,26
870127,129,37.046024322509766,17.579999923706055,87,1,27
870128,113,44.806663513183594,28.290000915527344,87,1,28
870129,117,32.806663513183594,30.920000076293945,87,1,29
870130,99,56.806663513183594,33.33000183105469,87,1,30
870131,115,33.806663513183594,29.829999923706055,87,1,31
870201,124,,39.290000915527344,87,2,32
870202,128,41.04254150390625,37.58000183105469,87,2,33
870203,109,56.806663513183594,35.380001068115234,87,2,34
870204,125,34.35769271850586,30.670000076293945,87,2,35
870205,125,67.8066635131836,29.420000076293945,87,2,36
870206,100,60.806663513183594,36.33000183105469,87,2,37
870207,127,41.806663513183594,40.75,87,2,38
870208,128,16.952613830566406,29.709999084472656,87,2,39
870209,112,39.806663513183594,25.8799991607666,87,2,40
870210,119,33.806663513183594,33.709999084472656,87,2,41
870211,116,80.8066635131836,37.5,87,2,42
870212,112,81.8066635131836,34.880001068115234,87,2,43
870213,126,36.806663513183594,35.83000183105469,87,2,44
870214,115,23.202699661254883,32.459999084472656,87,2,45
870215,112,9.80666446685791,22.709999084472656,87,2,46
870216,105,11.80666446685791,24.540000915527344,87,2,47
870217,109,20.806663513183594,30.6299991607666,87,2,48
870218,114,24.806663513183594,31.079999923706055,87,2,49
870219,111,46.806663513183594,32.209999084472656,87,2,50
870220,118,68.55853271484375,33.91999816894531,87,2,51
870221,114,56.806663513183594,38.5,87,2,52
870222,125,43.806663513183594,36.16999816894531,87,2,53
870223,146,44.806663513183594,34.66999816894531,87,2,54
870224,117,45.806663513183594,32.459999084472656,87,2,55
870225,135,45.806663513183594,35.459999084472656,87,2,56
870226,117,27.15287971496582,36.290000915527344,87,2,57
870227,99,53.806663513183594,39.459999084472656,87,2,58
870228,118,28.806663513183594,39.25,87,2,59
870301,123,12.80666446685791,39.380001068115234,87,3,60
870302,124,33.806663513183594,39.41999816894531,87,3,61
870303,122,29.806663513183594,35.540000915527344,87,3,62
870304,108,39.39258575439453,38.959999084472656,87,3,63
870305,118,27.806663513183594,43.959999084472656,87,3,64
870306,105,73.8066635131836,47.209999084472656,87,3,65
870307,109,46.806663513183594,57.540000915527344,87,3,66
870308,106,58.806663513183594,53.790000915527344,87,3,67
870309,125,22.806663513183594,29.6299991607666,87,3,68
870310,107,18.37212371826172,25.540000915527344,87,3,69
870311,110,35.806663513183594,28.209999084472656,87,3,70
870312,120,69.8066635131836,33.33000183105469,87,3,71
870313,120,44.806663513183594,34.08000183105469,87,3,72
870314,104,46.806663513183594,35.91999816894531,87,3,73
870315,111,,34.790000915527344,87,3,74
870316,114,25.643789291381836,37.130001068115234,87,3,75
870317,125,52.806663513183594,38.880001068115234,87,3,76
870318,118,60.806663513183594,39.5,87,3,77
870319,119,29.806663513183594,42.209999084472656,87,3,78
870320,122,25.806663513183594,41.83000183105469,87,3,79
870321,113,37.806663513183594,43.91999816894531,87,3,80
870322,96,36.737709045410156,47.380001068115234,87,3,81
870323,124,67.8066635131836,54.290000915527344,87,3,82
870324,131,55.806663513183594,55.16999816894531,87,3,83
870325,129,11.80666446685791,45.290000915527344,87,3,84
870326,104,40.806663513183594,45.540000915527344,87,3,85
870327,102,44.806663513183594,43.380001068115234,87,3,86
870328,120,31.061803817749023,45.630001068115234,87,3,87
870329,96,34.806663513183594,40.5,87,3,88
870330,120,24.806663513183594,28.709999084472656,87,3,89
870331,105,40.806663513183594,30.6299991607666,87,3,90
870401,114,33.806663513183594,40.41999816894531,87,4,91
870402,89,41.806663513183594,30.8799991607666,87,4,92
870403,118,19.783092498779297,29.170000076293945,87,4,93
870404,118,23.806663513183594,37.16999816894531,87,4,94
870405,108,15.80666446685791,44.130001068115234,87,4,95
870406,113,16.806663513183594,49.709999084472656,87,4,96
870407,129,25.806663513183594,49.880001068115234,87,4,97
870408,117,16.806663513183594,39.959999084472656,87,4,98
870409,117,77.17359924316406,50.959999084472656,87,4,99
870410,109,66.8066635131836,56,87,4,100
870411,104,21.806663513183594,48.25,87,4,101
870412,124,34.806663513183594,49.41999816894531,87,4,102
870413,91,44.806663513183594,50.16999816894531,87,4,103
870414,136,30.806663513183594,51.709999084472656,87,4,104
870415,105,30.20920753479004,51.380001068115234,87,4,105
870416,102,21.7437744140625,52.380001068115234,87,4,106
870417,113,40.806663513183594,56.540000915527344,87,4,107
870418,105,103.8066635131836,62.709999084472656,87,4,108
870419,103,,65.58000183105469,87,4,109
870420,117,52.806663513183594,72.16999816894531,87,4,110
870421,95,36.241912841796875,52.790000915527344,87,4,111
870422,128,25.806663513183594,46.040000915527344,87,4,112
870423,105,23.806663513183594,49.709999084472656,87,4,113
870424,103,13.80666446685791,48.709999084472656,87,4,114
870425,124,27.806663513183594,51.040000915527344,87,4,115
870426,97,55.806663513183594,57.380001068115234,87,4,116
870427,105,35.127872467041016,58.880001068115234,87,4,117
870428,114,69.8066635131836,54.66999816894531,87,4,118
870429,103,58.806663513183594,62.380001068115234,87,4,119
870430,98,16.806663513183594,46.040000915527344,87,4,120
870501,111,63.806663513183594,54.5,87,5,121
870502,119,27.806663513183594,53.209999084472656,87,5,122
